trade_id,symbol,asset_class,counterparty,quantity,price,notional,trade_date,settlement_date
TRD-00270,US10Y,Bond,UBS,5000,99.4522,497261.0,2026-08-22,2026-08-24
TRD-00271,XAUUSD,Commodity,UBS,100,2345.4214,234542.14,2026-08-21,2026-08-23
TRD-00272,AAPL,Equity,JPMORGAN,1000,188.0517,188051.7,2026-08-19,2026-08-21
TRD-00273,US10Y,Bond,CITI,100,99.6678,9966.78,2026-08-11,2026-08-13
TRD-00274,TSLA,Equity,MORGAN STANLEY,250,248.0587,62014.67,2026-08-26,2026-08-28
TRD-00275,GS-CDS-5Y,Derivative,DEUTSCHE BANK,500,103.6375,51818.75,2026-08-17,2026-08-19
TRD-00276,US10Y,Bond,BARCLAYS,500,100.0554,50027.7,2026-08-31,2026-09-02
TRD-00277,XAUUSD,Commodity,JPMORGAN,500,2360.4975,1180248.75,2026-08-15,2026-08-17
TRD-00278,AAPL,Equity,UBS,250,186.7769,46694.23,2026-08-24,2026-08-26
TRD-00279,TSLA,Equity,CITI,2500,253.6783,634195.75,2026-08-03,2026-08-05
TRD-00280,XAUUSD,Commodity,DEUTSCHE BANK,500,2369.9635,1184981.75,2026-08-04,2026-08-06
TRD-00281,EURUSD,FX,UBS,5000,1.0793,5396.5,2026-08-09,2026-08-11
TRD-00282,GS-CDS-5Y,Derivative,CITI,5000,101.6141,508070.5,2026-08-04,2026-08-06
TRD-00283,TSLA,Equity,DEUTSCHE BANK,100,246.2499,24624.99,2026-08-29,2026-08-31
TRD-00284,GS-CDS-5Y,Derivative,MORGAN STANLEY,2500,101.3976,253494.0,2026-08-21,2026-08-23
TRD-00285,AAPL,Equity,UBS,1000,190.5264,190526.4,2026-08-10,2026-08-12
TRD-00286,TSLA,Equity,JPMORGAN,250,247.987,61996.75,2026-08-31,2026-09-02
TRD-00287,AAPL,Equity,JPMORGAN,1000,188.0171,188017.1,2026-08-04,2026-08-06
TRD-00288,MSFT,Equity,BARCLAYS,250,427.8261,106956.52,2026-08-15,2026-08-17
TRD-00289,US10Y,Bond,UBS,5000,99.4234,497117.0,2026-08-31,2026-09-02
TRD-00290,GS-CDS-5Y,Derivative,UBS,5000,101.7697,508848.5,2026-08-05,2026-08-07
TRD-00291,EURUSD,FX,DEUTSCHE BANK,1000,1.0917,1091.7,2026-08-14,2026-08-16
TRD-00292,US10Y,Bond,MORGAN STANLEY,500,96.9042,48452.1,2026-08-15,2026-08-17
TRD-00293,EURUSD,FX,JPMORGAN,500,1.1046,552.3,2026-08-22,2026-08-24
TRD-00294,US10Y,Bond,CITI,5000,98.9256,494628.0,2026-08-02,2026-08-04
TRD-00295,EURUSD,FX,BARCLAYS,100,1.0753,107.53,2026-08-03,2026-08-05
TRD-00296,TSLA,Equity,DEUTSCHE BANK,5000,246.0337,1230168.5,2026-08-01,2026-08-03
TRD-00297,AAPL,Equity,MORGAN STANLEY,250,191.6739,47918.47,2026-08-26,2026-08-28
TRD-00298,GS-CDS-5Y,Derivative,MORGAN STANLEY,2500,100.8961,252240.25,2026-08-19,2026-08-21
TRD-00299,MSFT,Equity,CITI,250,426.5756,106643.9,2026-08-25,2026-08-27
TRD-00300,MSFT,Equity,JPMORGAN,2500,426.1642,1065410.5,2026-08-09,2026-08-11
